id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
78,decay,medium,200,exponential,10,,meanlog,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.7,1.7,1.7
79,decay,medium,200,exponential,11,,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
80,decay,medium,200,exponential,12,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6
81,decay,medium,200,exponential,13,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.7
82,decay,medium,200,exponential,14,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7
83,decay,medium,200,exponential,15,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6
84,decay,medium,200,exponential,16,,meanlog,1.5,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6
85,decay,medium,200,exponential,17,,meanlog,1.5,1.5,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.6
86,decay,medium,200,exponential,18,,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
87,decay,medium,200,exponential,19,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6
88,decay,medium,200,exponential,20,,meanlog,1.5,1.5,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.6
89,decay,short,200,exponential,1,,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
90,decay,short,200,exponential,2,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
91,decay,short,200,exponential,3,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
92,decay,short,200,exponential,4,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
93,decay,short,200,exponential,5,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
94,decay,short,200,exponential,6,,meanlog,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3
95,decay,short,200,exponential,7,,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2
96,decay,short,200,exponential,8,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3
97,decay,short,200,exponential,9,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
98,decay,short,200,exponential,10,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3
99,decay,short,200,exponential,11,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
100,decay,short,200,exponential,12,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
101,decay,short,200,exponential,13,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3
102,decay,short,200,exponential,14,,meanlog,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3
103,decay,short,200,exponential,15,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3
104,decay,short,200,exponential,16,,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
105,decay,short,200,exponential,17,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
106,decay,short,200,exponential,18,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
107,decay,short,200,exponential,19,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3
108,decay,short,200,exponential,20,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
109,fast decay,long,200,exponential,1,,meanlog,1.6,1.6,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8
110,fast decay,long,200,exponential,2,,meanlog,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.8
111,fast decay,long,200,exponential,3,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9
112,fast decay,long,200,exponential,4,,meanlog,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.9,1.9,1.9
113,fast decay,long,200,exponential,5,,meanlog,1.7,1.7,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8
114,fast decay,long,200,exponential,6,,meanlog,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.9
115,fast decay,long,200,exponential,7,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9
116,fast decay,long,200,exponential,8,,meanlog,1.8,1.8,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9
117,fast decay,long,200,exponential,9,,meanlog,1.7,1.7,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8
118,fast decay,long,200,exponential,10,,meanlog,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9
119,fast decay,long,200,exponential,11,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8
120,fast decay,long,200,exponential,12,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8
121,fast decay,long,200,exponential,13,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8
122,fast decay,long,200,exponential,14,,meanlog,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9
123,fast decay,long,200,exponential,15,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8
124,fast decay,long,200,exponential,16,,meanlog,1.9,1.9,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2
125,fast decay,long,200,exponential,17,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9
126,fast decay,long,200,exponential,18,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9
127,fast decay,long,200,exponential,19,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.8,1.8
128,fast decay,long,200,exponential,20,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8
129,fast decay,medium,200,exponential,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
130,fast decay,medium,200,exponential,2,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
131,fast decay,medium,200,exponential,3,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6
132,fast decay,medium,200,exponential,4,,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
133,fast decay,medium,200,exponential,5,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6
134,fast decay,medium,200,exponential,6,,meanlog,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6
135,fast decay,medium,200,exponential,7,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
136,fast decay,medium,200,exponential,8,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
137,fast decay,medium,200,exponential,9,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
138,fast decay,medium,200,exponential,10,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
139,fast decay,medium,200,exponential,11,,meanlog,1.6,1.6,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6
140,fast decay,medium,200,exponential,12,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
141,fast decay,medium,200,exponential,13,,meanlog,1.6,1.6,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6
142,fast decay,medium,200,exponential,14,,meanlog,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
143,fast decay,medium,200,exponential,15,,meanlog,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6
144,fast decay,medium,200,exponential,16,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7
145,fast decay,medium,200,exponential,17,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7
146,fast decay,medium,200,exponential,18,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.7
147,fast decay,medium,200,exponential,19,,meanlog,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.7,1.7,1.7
148,fast decay,medium,200,exponential,20,,meanlog,1.6,1.6,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.7
149,fast decay,short,200,exponential,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
150,fast decay,short,200,exponential,2,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
151,fast decay,short,200,exponential,3,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
152,fast decay,short,200,exponential,4,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
153,fast decay,short,200,exponential,5,,meanlog,1.1,1.1,1,1,1.1,1.1,1.1,1.1,1.1,1.1
154,fast decay,short,200,exponential,6,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
155,fast decay,short,200,exponential,7,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
156,fast decay,short,200,exponential,8,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3
157,fast decay,short,200,exponential,9,,meanlog,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3
158,fast decay,short,200,exponential,10,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
159,fast decay,short,200,exponential,11,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3
160,fast decay,short,200,exponential,12,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
161,fast decay,short,200,exponential,13,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3
162,fast decay,short,200,exponential,14,,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
163,fast decay,short,200,exponential,15,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
164,fast decay,short,200,exponential,16,,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
165,fast decay,short,200,exponential,17,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3
166,fast decay,short,200,exponential,18,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
167,fast decay,short,200,exponential,19,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
168,fast decay,short,200,exponential,20,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
169,fast growth,long,200,exponential,1,,meanlog,1.5,1.5,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6
170,fast growth,long,200,exponential,2,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.7
171,fast growth,long,200,exponential,3,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8
172,fast growth,long,200,exponential,4,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
173,fast growth,long,200,exponential,5,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
174,fast growth,long,200,exponential,6,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
175,fast growth,long,200,exponential,7,,meanlog,1.6,1.6,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.7
176,fast growth,long,200,exponential,8,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7
177,fast growth,long,200,exponential,9,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
178,fast growth,long,200,exponential,10,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.7
179,fast growth,long,200,exponential,11,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
180,fast growth,long,200,exponential,12,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7
181,fast growth,long,200,exponential,13,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
182,fast growth,long,200,exponential,14,,meanlog,1.6,1.6,1.4,1.5,1.5,1.6,1.6,1.6,1.7,1.7
183,fast growth,long,200,exponential,15,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7
184,fast growth,long,200,exponential,16,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
185,fast growth,long,200,exponential,17,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.8
186,fast growth,long,200,exponential,18,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7
187,fast growth,long,200,exponential,19,,meanlog,1.6,1.6,1.4,1.5,1.5,1.6,1.6,1.6,1.7,1.7
188,fast growth,long,200,exponential,20,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
189,fast growth,medium,200,exponential,1,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.7
190,fast growth,medium,200,exponential,2,,meanlog,1.5,1.5,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.6
191,fast growth,medium,200,exponential,3,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.7
192,fast growth,medium,200,exponential,4,,meanlog,1.5,1.5,1.3,1.4,1.4,1.5,1.5,1.5,1.6,1.6
193,fast growth,medium,200,exponential,5,,meanlog,1.4,1.4,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.5
194,fast growth,medium,200,exponential,6,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7
195,fast growth,medium,200,exponential,7,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7
196,fast growth,medium,200,exponential,8,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
197,fast growth,medium,200,exponential,9,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6
198,fast growth,medium,200,exponential,10,,meanlog,1.5,1.5,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6
199,fast growth,medium,200,exponential,11,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7
200,fast growth,medium,200,exponential,12,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.7
201,fast growth,medium,200,exponential,13,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7
202,fast growth,medium,200,exponential,14,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6
203,fast growth,medium,200,exponential,15,,meanlog,1.5,1.5,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6
204,fast growth,medium,200,exponential,16,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6
205,fast growth,medium,200,exponential,17,,meanlog,1.5,1.5,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6
206,fast growth,medium,200,exponential,18,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7
207,fast growth,medium,200,exponential,19,,meanlog,1.5,1.5,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.6
208,fast growth,medium,200,exponential,20,,meanlog,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6
209,fast growth,short,200,exponential,1,,meanlog,1.2,1.2,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3
210,fast growth,short,200,exponential,2,,meanlog,1.1,1.1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
211,fast growth,short,200,exponential,3,,meanlog,1.1,1.1,1,1,1.1,1.1,1.2,1.2,1.3,1.3
212,fast growth,short,200,exponential,4,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
213,fast growth,short,200,exponential,5,,meanlog,1.2,1.2,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3
214,fast growth,short,200,exponential,6,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.3
215,fast growth,short,200,exponential,7,,meanlog,1.3,1.3,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4
216,fast growth,short,200,exponential,8,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4
217,fast growth,short,200,exponential,9,,meanlog,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.4
218,fast growth,short,200,exponential,10,,meanlog,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4
219,fast growth,short,200,exponential,11,,meanlog,1.1,1.1,1,1,1.1,1.1,1.1,1.2,1.2,1.2
220,fast growth,short,200,exponential,12,,meanlog,1.1,1.1,1,1,1.1,1.1,1.2,1.2,1.2,1.3
